"species","n_bio_3","mean_bio_3","sd_bio_3","se_bio_3","within_sp_var_bio_3"
"Lasioglossum_holochlorum","17","38.647059","2.871001","0.69632","2.394378"
"Hylaeus_ruficeps","28","40.321429","3.991227","0.754271","1.45373"
"Nomia_rubroviridis","9","43.555556","5.222813","1.740938","4.522714"
"Bombus_flavifrons","430","25.995349","7.80801","0.376536","0.094661"
"Bombus_perplexus","397","21.292191","4.346166","0.218128","0.10253"
"Bombus_rufocinctus","566","25.632509","6.95721","0.292433","0.071916"
"Melissodes_druriellus","227","24.418502","4.952537","0.328711","0.179315"
"Melissodes_illatus","65","21.353846","4.240544","0.525975","0.626222"
"Melissodes_bimaculatus","376","26.005319","4.550162","0.234657","0.108256"
"Bombus_sitkensis","137","29.065693","7.784982","0.665116","0.297113"
"Melissodes_subillatus","66","22.893939","4.510258","0.555174","0.616734"
"Bombus_variabilis","126","30.722222","10.292241","0.916906","0.323051"
"Melissodes_compositus","40","33.325","4.75226","0.751398","1.017611"
"Melissodes_bicoloratus","17","33.294118","6.391055","1.550059","2.394378"
"Melissodes_lustrus","35","34.857143","6.315913","1.067584","1.162984"
"Melissodes_lupinus","70","35.728571","6.050324","0.723152","0.581492"
"Melissodes_tessellatus","13","39.538462","5.767949","1.599741","3.13111"
"Melissodes_expolitus","4","38.25","1.5","0.75","10.176107"
"Melissodes_interruptus","19","52","6.59124","1.512134","2.142338"
"Melissodes_lutulentus","55","31.654545","4.308554","0.580965","0.740081"
"Melissodes_appressus","18","37.666667","5.841031","1.376744","2.261357"
"Melissodes_gelidus","32","30.125","4.36814","0.772185","1.272013"
"Melissodes_perpolitus","14","31.642857","3.07864","0.822801","2.907459"
"Melissodes_melanurus","8","39.875","3.681518","1.301613","5.088053"
"Melissodes_velutinus","10","39.6","4.501851","1.42361","4.070443"
"Melissodes_tinctus","24","27.625","3.909993","0.798124","1.696018"
"Melissodes_paululus","10","38.9","5.40473","1.709126","4.070443"
"Melissodes_fasciatellus","23","35.478261","2.889944","0.602595","1.769758"
"Melissodes_semilupinus","36","31.916667","4.190977","0.698496","1.130679"
"Nomada_imbricata","84","23.797619","3.562792","0.388732","0.484577"
"Nomada_luteoloides","102","22.911765","3.8023","0.376484","0.399063"
"Apis_mellifera","4306","33.59359","14.039308","0.213948","0.009453"
"Apis_dorsata","377","46.376658","13.71485","0.706351","0.107969"
"Bombus_pullatus","58","58.448276","8.450418","1.109594","0.7018"
"Axestotrigona_erythra","6","50.333333","4.412105","1.801234","6.784071"
"Amegilla_calva","14","39.428571","1.504572","0.402114","2.907459"
"Amegilla_chlorocyanea","225","39.435556","3.065735","0.204382","0.180909"
"Plebeiella_lendliana","11","57.181818","8.646597","2.607047","3.700403"
"Melissodes_nigroaeneus","20","47.6","9.30987","2.08175","2.035221"
"Eulaema_speciosa","16","62.375","9.583841","2.39596","2.544027"
"Axestotrigona_ferruginea","27","56.666667","6.604194","1.270978","1.507571"
"Ceratina_okinawana","3","11.666667","2.081666","1.20185","13.568143"
"Bombus_muscorum","324","22.549383","6.192528","0.344029","0.125631"
"Xylocopa_micheneri","24","49.416667","7.40691","1.511929","1.696018"
"Bombus_laesus","37","23.783784","4.950506","0.813858","1.10012"
"Bombus_californicus","197","33.532995","5.931168","0.422578","0.206621"
"Amegilla_scymna","1","39",NA,NA,"40.704428"
"Amegilla_indistincta","4","43.25","6.849574","3.424787","10.176107"
"Amegilla_karlba","4","47","4.966555","2.483277","10.176107"
"Amegilla_paeninsulae","2","44.5","9.192388","6.5","20.352214"
"Amegilla_viridicingulata","1","37",NA,NA,"40.704428"
"Anthidium_manicatum","813","26.592866","7.945337","0.278655","0.050067"
"Apis_florea","258","41.651163","8.082889","0.503219","0.157769"
"Austrothurgus_rubricatus","26","42.346154","4.542619","0.890881","1.565555"
"Bombus_hypnorum","2180","24.59633","9.057077","0.193981","0.018672"
"Bombus_impatiens","572","24.884615","6.27038","0.262178","0.071162"
"Braunsapis_occidentalis","4","36.25","6.291529","3.145764","10.176107"
"Hylaeus_cyanurus","1","43",NA,NA,"40.704428"
"Bombus_fraternus","265","28.645283","4.569603","0.280708","0.153602"
"Megachile_aethiops","17","45","5.71183","1.385322","2.394378"
"Tetragonula_clypearis","8","42.375","9.88415","3.494575","5.088053"
"Trichocolletes_albigenae","5","38.8","1.788854","0.8","8.140886"
"Trichocolletes_avialis","1","43",NA,NA,"40.704428"
"Trichocolletes_centralis","3","38.333333","0.57735","0.333333","13.568143"
"Trichocolletes_nitens","2","39.5","0.707107","0.5","20.352214"
"Trichocolletes_orientalis","22","36.954545","4.561508","0.972517","1.850201"
"Xylocopa_virginica","639","34.544601","14.004169","0.553996","0.0637"
"Bombus_crotchii","46","39.652174","4.393012","0.647714","0.884879"
"Bombus_morrisoni","226","32.504425","4.086017","0.271798","0.180108"
"Melissodes_microstictus","550","33.649091","9.956305","0.424538","0.074008"
"Bombus_bifarius","327","29.767584","6.52892","0.36105","0.124478"
"Bombus_fervidus","657","27.820396","7.290238","0.284419","0.061955"
"Bombus_appositus","225","31.217778","3.792809","0.252854","0.180909"
"Bombus_vosnesenskii","213","32.906103","6.62333","0.453823","0.191101"
"Bombus_ephippiatus","100","52.87","5.706022","0.570602","0.407044"
"Anthophora_urbana","239","33.861925","4.820494","0.311812","0.170311"
"Bombus_mexicanus","27","56.555556","3.693376","0.710791","1.507571"
"Bombus_terricola","507","21.966469","5.43456","0.241357","0.080285"
"Bombus_sonorus","204","39.343137","7.760574","0.543349","0.199532"
"Bombus_steindachneri","51","50.960784","5.272422","0.738287","0.798126"
"Bombus_mixtus","396","25.888889","7.795992","0.391763","0.102789"
"Bombus_huntii","448","30.196429","6.738768","0.318377","0.090858"
"Bombus_melanopygus","406","27.470443","9.114789","0.452359","0.100257"
"Bombus_caliginosus","64","38.859375","4.747153","0.593394","0.636007"
"Bombus_centralis","295","29.915254","4.793306","0.279077","0.137981"
"Bombus_griseocollis","723","26.208852","5.264403","0.195785","0.056299"
"Bombus_diligens","42","51.666667","4.376582","0.675321","0.969153"
"Bombus_auricomus","301","24.843854","3.75307","0.216323","0.135231"
"Trigona_nigerrima","57","56.859649","7.875002","1.043069","0.714113"
"Melissodes_agilis","317","29.135647","6.335346","0.355828","0.128405"
"Nomada_denticulata","74","23.121622","3.656305","0.425037","0.55006"
"Nomada_articulata","162","24.012346","4.924256","0.386886","0.251262"
"Epeolus_autumnalis","40","22.625","4.688707","0.74135","1.017611"
"Ceratina_calcarata","246","24.060976","4.362215","0.278125","0.165465"
"Nomada_fabriciana","190","26.415789","5.123941","0.37173","0.214234"
"Nomada_ferruginata","106","24.783019","6.36509","0.618232","0.384004"
"Bombus_ternarius","476","21.590336","4.421744","0.20267","0.085514"
"Bombus_bimaculatus","503","23.713718","4.613072","0.205687","0.080923"
"Scaptotrigona_mexicana","46","51.130435","6.039164","0.890426","0.884879"
"Xylocopa_tabaniformis","196","41.765306","9.267313","0.661951","0.207676"
"Xylocopa_micans","153","30.052288","5.400769","0.436626","0.266042"
"Bombus_pauloensis","157","47.738854","12.467983","0.995053","0.259264"
"Xylocopa_sonorina","146","39.965753","8.314022","0.688073","0.278797"
"Bombus_insularis","439","26.974943","7.198225","0.343553","0.092721"
"Bombus_nevadensis","414","28.323671","5.153956","0.253303","0.09832"
"Trigona_fulviventris","192","58.041667","8.667707","0.625538","0.212002"
"Bombus_cryptarum","440","20.665909","5.503341","0.262361","0.09251"
"Xylocopa_flavorufa","101","51.514851","7.683247","0.764512","0.403014"
"Bombus_pensylvanicus","702","30.552707","8.781997","0.331455","0.057984"
"Bombus_vagans","510","22.698039","4.507034","0.199575","0.079813"
"Bombus_citrinus","260","21.946154","4.066648","0.252203","0.156555"
"Ptilothrix_bombiformis","174","26.741379","3.549291","0.269071","0.233933"
"Bombus_affinis","218","22.811927","3.667826","0.248417","0.186718"
"Scaptotrigona_pectoralis","70","52.7","6.543832","0.782138","0.581492"
"Xylocopa_fimbriata","110","55.663636","9.78135","0.932615","0.37004"
"Nannotrigona_perilampoides","119","52.655462","6.993262","0.641071","0.342054"
"Melissodes_desponsus","228","23.324561","3.233894","0.21417","0.178528"
"Centris_rhodopus","77","37.727273","4.32446","0.492818","0.528629"
"Anthophora_terminalis","354","25.20339","6.400548","0.340185","0.114984"
"Bombus_flavidus","563","23.348135","6.799331","0.286558","0.072299"
"Eulaema_polychroma","147","55.809524","8.803279","0.726082","0.276901"
"Nomada_fervida","33","26.818182","6.559604","1.14188","1.233468"
"Melissoptila_otomita","29","50.206897","7.523199","1.397023","1.403601"
"Habropoda_laboriosa","160","27.81875","5.040555","0.398491","0.254403"
"Anthophora_edwardsii","60","34.85","5.850757","0.755329","0.678407"
"Bombus_ashtoni","226","20.553097","4.045224","0.269084","0.180108"
"Svastra_obliqua","368","29.872283","5.770591","0.300813","0.11061"
"Brachymelecta_californica","213","34.676056","6.136285","0.420451","0.191101"
"Habropoda_depressa","37","39.972973","4.092585","0.672817","1.10012"
"Anthophora_californica","232","39.099138","7.243065","0.475531","0.17545"
"Diadasia_bituberculata","39","41.923077","4.601971","0.736905","1.043703"
"Bombus_borealis","390","21.287179","4.411901","0.223405","0.10437"
"Bombus_frigidus","315","20.438095","6.600411","0.371891","0.12922"
