"species","n_awi_pm_sr_yr","mean_awi_pm_sr_yr","sd_awi_pm_sr_yr","se_awi_pm_sr_yr","within_sp_var_awi_pm_sr_yr"
"Lasioglossum_holochlorum","17","5617.882353","2950.185521","715.525089","861909.740533"
"Hylaeus_ruficeps","28","3246.857143","1814.216915","342.85477","523302.342466"
"Nomia_rubroviridis","9","6119.888889","3141.724743","1047.241581","1628051.732118"
"Bombus_flavifrons","430","7936.832558","8369.560219","403.616034","34075.50137"
"Bombus_perplexus","397","9042.007557","3800.746774","190.754013","36907.973776"
"Bombus_rufocinctus","566","6499.136042","4543.171763","190.963753","25887.748391"
"Melissodes_druriellus","227","7684.907489","3152.282931","209.224367","64548.30656"
"Melissodes_illatus","66","10228.772727","3607.864644","444.097438","222007.05438"
"Melissodes_bimaculatus","376","7601.295213","2185.084008","112.687104","38969.323375"
"Bombus_sitkensis","139","14890.18705","13666.029688","1159.137509","105413.421504"
"Melissodes_subillatus","66","8926.954545","2586.952495","318.43184","222007.05438"
"Bombus_variabilis","126","7779.555556","3034.292003","270.316216","116289.409437"
"Melissodes_compositus","40","2339.95","1556.292849","246.071505","366311.639727"
"Melissodes_bicoloratus","17","1755.764706","1175.83436","285.181721","861909.740533"
"Melissodes_lustrus","35","3734.714286","2339.772671","395.493766","418641.873973"
"Melissodes_lupinus","70","3731.671429","3305.38168","395.068675","209320.936987"
"Melissodes_tessellatus","13","1395.076923","654.626161","181.56063","1127112.73762"
"Melissodes_expolitus","4","1555.25","740.899622","370.449811","3663116.397265"
"Melissodes_interruptus","19","5040.526316","2508.644972","575.522627","771182.399424"
"Melissodes_lutulentus","55","2500.2","1548.494554","208.798963","266408.465256"
"Melissodes_appressus","18","2453.611111","2023.208027","476.874705","814025.866059"
"Melissodes_gelidus","32","3449.46875","1543.072741","272.7793","457889.549658"
"Melissodes_perpolitus","14","1759.285714","818.705115","218.808146","1046604.684933"
"Melissodes_melanurus","8","3363","2172.120623","767.960611","1831558.198633"
"Melissodes_velutinus","10","2128.2","2229.204781","704.936448","1465246.558906"
"Melissodes_tinctus","24","7812.5","2208.057911","450.717934","610519.399544"
"Melissodes_paululus","10","3051.5","1665.588268","526.705257","1465246.558906"
"Melissodes_fasciatellus","23","1898.391304","716.753523","149.453441","637063.721264"
"Melissodes_semilupinus","36","1830.222222","1192.518873","198.753146","407012.933029"
"Nomada_imbricata","84","9442.083333","2362.57985","257.778595","174434.114155"
"Nomada_luteoloides","102","9425.627451","2457.464011","243.325195","143651.623422"
"Apis_dorsata","379","10795.770449","6355.816866","326.476383","38660.859074"
"Axestotrigona_erythra","6","8796.333333","5218.2303","2130.333599","2442077.598177"
"Amegilla_calva","14","1734.928571","1403.305464","375.049161","1046604.684933"
"Amegilla_chlorocyanea","226","2216.132743","2135.685836","142.063709","64833.918536"
"Plebeiella_lendliana","11","9638.909091","6511.789193","1963.378315","1332042.326278"
"Melissodes_nigroaeneus","20","10349.5","3330.486617","744.719447","732623.279453"
"Eulaema_speciosa","16","19940.6875","6989.030402","1747.257601","915779.099316"
"Axestotrigona_ferruginea","27","7933.222222","3561.413919","685.394428","542683.910706"
"Ceratina_okinawana","3","12971.666667","12349.488748","7129.980653","4884155.196354"
"Bombus_muscorum","325","9646.96","6521.603447","361.753471","45084.509505"
"Xylocopa_micheneri","24","4472.791667","2929.91739","598.066883","610519.399544"
"Bombus_laesus","37","4894.081081","2175.091804","357.58289","396012.583488"
"Bombus_californicus","197","5806.86802","5354.872202","381.518847","74377.997914"
"Amegilla_scymna","1","1303",NA,NA,"14652465.589061"
"Amegilla_indistincta","4","6571.5","4693.365069","2346.682535","3663116.397265"
"Amegilla_karlba","4","6231.25","1896.565031","948.282516","3663116.397265"
"Amegilla_paeninsulae","2","10296.5","1274.913526","901.5","7326232.794531"
"Amegilla_viridicingulata","1","9201",NA,NA,"14652465.589061"
"Apis_florea","260","6287.776923","5003.572547","310.308396","56355.636881"
"Austrothurgus_rubricatus","26","3768.615385","2686.348512","526.836288","563556.36881"
"Bombus_impatiens","572","8211.56993","3393.203689","141.876974","25616.198582"
"Braunsapis_occidentalis","4","1452","835.856048","417.928024","3663116.397265"
"Hylaeus_cyanurus","1","4508",NA,NA,"14652465.589061"
"Bombus_fraternus","265","6142.90566","2809.869773","172.608928","55292.322978"
"Megachile_aethiops","18","3673.166667","2196.163292","517.640652","814025.866059"
"Tetragonula_clypearis","8","10177.625","4176.24462","1476.525445","1831558.198633"
"Trichocolletes_albigenae","5","2811","655.399115","293.103395","2930493.117812"
"Trichocolletes_avialis","1","1266",NA,NA,"14652465.589061"
"Trichocolletes_centralis","3","1227.333333","554.610073","320.204275","4884155.196354"
"Trichocolletes_nitens","2","1420","8.485281","6","7326232.794531"
"Trichocolletes_orientalis","22","5367.772727","1949.511244","415.637194","666021.163139"
"Bombus_crotchii","46","2946.891304","2146.451234","316.476969","318531.860632"
"Bombus_morrisoni","226","2797.738938","3135.642142","208.579813","64833.918536"
"Melissodes_microstictus","551","5004.023593","3731.031671","158.947293","26592.496532"
"Bombus_bifarius","327","5642.269113","4592.095342","253.943453","44808.763269"
"Bombus_fervidus","658","5831.93465","4076.093865","158.902683","22268.184786"
"Bombus_appositus","225","4901.586667","4078.409566","271.893971","65122.069285"
"Bombus_vosnesenskii","213","6427.117371","6477.952898","443.862019","68790.918259"
"Bombus_ephippiatus","100","7235.7","4575.188219","457.518822","146524.655891"
"Anthophora_urbana","240","2826.133333","2687.26743","173.462367","61051.939954"
"Bombus_mexicanus","27","10310.444444","5091.478388","979.855473","542683.910706"
"Bombus_terricola","511","8843.041096","4785.396322","211.69347","28674.100957"
"Bombus_sonorus","204","2726.044118","2265.061348","158.586015","71825.811711"
"Bombus_steindachneri","51","5207.901961","2340.581691","327.746993","287303.246844"
"Bombus_mixtus","397","8293.347607","8361.131727","419.633172","36907.973776"
"Bombus_huntii","448","4279.584821","3100.714122","146.494972","32706.396404"
"Bombus_melanopygus","408","9644.982843","9906.610089","490.450282","35912.905856"
"Bombus_caliginosus","64","8737.984375","8237.555348","1029.694418","228944.774829"
"Bombus_centralis","295","4123.647458","3306.166648","192.492464","49669.374878"
"Bombus_griseocollis","725","6512.882759","3230.249592","119.968458","20210.297364"
"Bombus_diligens","42","6158.142857","2618.954479","404.11345","348868.228311"
"Bombus_auricomus","302","7227.622517","2648.914922","152.427925","48518.097977"
"Trigona_nigerrima","57","13150.964912","6803.745746","901.178139","257060.799808"
"Melissodes_agilis","317","4280.365931","3015.056884","169.342466","46222.288924"
"Nomada_denticulata","74","9057.513514","2207.990038","256.673628","198006.291744"
"Nomada_articulata","162","7947.074074","3828.005084","300.756484","90447.318451"
"Epeolus_autumnalis","40","9101.7","2380.520113","376.393279","366311.639727"
"Ceratina_calcarata","246","8221.723577","2604.284146","166.043093","59562.868248"
"Nomada_fabriciana","191","10007.753927","4045.219214","292.70179","76714.479524"
"Nomada_ferruginata","106","9057.216981","3211.24122","311.90332","138230.807444"
"Bombus_ternarius","477","8397.884696","4250.045979","194.596237","30717.95721"
"Bombus_bimaculatus","503","8348.053678","3024.02871","134.834776","29130.150276"
"Scaptotrigona_mexicana","46","8939.326087","4828.96091","711.991443","318531.860632"
"Xylocopa_tabaniformis","198","4533.252525","3646.600123","259.152586","74002.35146"
"Xylocopa_micans","153","7558.137255","2488.663396","201.196511","95767.748948"
"Bombus_pauloensis","158","10028.803797","4156.088683","330.640663","92737.123981"
"Xylocopa_sonorina","146","2684.931507","2432.880951","201.34666","100359.35335"
"Bombus_insularis","440","6977.197727","6246.210451","297.776399","33301.058157"
"Bombus_nevadensis","415","4368.190361","2836.600372","139.243236","35307.145998"
"Trigona_fulviventris","193","10990.367876","5671.240992","408.224859","75919.510824"
"Bombus_cryptarum","442","9633.911765","5435.24949","258.528454","33150.374636"
"Xylocopa_flavorufa","101","5107.70297","2396.562883","238.46692","145073.916723"
"Bombus_pensylvanicus","704","5999.305398","3315.680507","124.964411","20813.161348"
"Bombus_vagans","511","8426.039139","4184.486481","185.110784","28674.100957"
"Bombus_citrinus","260","9073.465385","3114.79594","193.171444","56355.636881"
"Ptilothrix_bombiformis","174","7989.528736","1762.422757","133.608924","84209.572351"
"Bombus_affinis","218","8697.931193","1991.575797","134.886533","67213.144904"
"Scaptotrigona_pectoralis","70","9415.057143","4432.402646","529.773445","209320.936987"
"Xylocopa_fimbriata","110","8504.354545","4393.316374","418.886281","133204.232628"
"Nannotrigona_perilampoides","121","8290.818182","5211.221891","473.747445","121094.756934"
"Melissodes_desponsus","228","8464.666667","2070.00212","137.089239","64265.199952"
"Centris_rhodopus","78","1380.717949","1293.806946","146.494789","187852.122937"
"Anthophora_terminalis","355","6891.239437","3576.211209","189.805583","41274.550955"
"Bombus_flavidus","564","10559.411348","7200.915302","303.213233","25979.548917"
"Eulaema_polychroma","147","8817.612245","5784.125862","477.06666","99676.63666"
"Nomada_fervida","33","7896.939394","1339.555592","233.186697","444014.108759"
"Melissoptila_otomita","29","7521.172414","4749.787251","882.01335","505257.434106"
"Habropoda_laboriosa","162","8484.648148","1756.054717","137.968689","90447.318451"
"Anthophora_edwardsii","60","2293.233333","1701.068541","219.607004","244207.759818"
"Bombus_ashtoni","227","8994.898678","3937.531802","261.343165","64548.30656"
"Svastra_obliqua","368","4876.334239","3060.825422","159.556555","39816.482579"
"Brachymelecta_californica","213","3194.661972","2657.729171","182.104602","68790.918259"
"Habropoda_depressa","37","4430.297297","2874.108682","472.500557","396012.583488"
"Anthophora_californica","233","3109.429185","2566.144571","168.11372","62886.118408"
"Diadasia_bituberculata","39","3745.025641","2484.398365","397.822124","375704.245873"
"Bombus_borealis","390","8175.835897","4452.589011","225.465609","37570.424587"
"Bombus_frigidus","318","8547.27673","6251.680855","350.576854","46076.935815"
"Diadasia_enavata","187","2680.786096","1760.902056","128.769912","78355.430958"
"Anthophora_montana","109","2239.275229","947.389932","90.743498","134426.289808"
"Anthophora_occidentalis","107","2780.850467","1453.478299","140.513051","136938.930739"
"Xylocopa_californica","198","2672.80303","2576.96778","183.137126","74002.35146"
"Melissodes_communis","257","5410.715953","3061.268861","190.956705","57013.484782"
"Bombus_suckleyi","210","6789.295238","6152.818204","424.584794","69773.645662"
"Anthophora_abrupta","176","8424.3125","1403.652846","105.804314","83252.645392"
"Bombus_occidentalis","461","6596.915401","6246.056207","290.90784","31784.090215"
"Anthophora_pacifica","96","4253.614583","4737.061402","483.474305","152629.849886"
