Family,Subfamily,Tribe,Species name and author,tips,"broad_sociality (solitary, social, kleptoparasite, social parasite)","fine_sociality (communal, primitively eusocial, eusocial)",sociality_notes,sociality_ref,nesting_broad,nesting_fine,reference,Nest.Accuracy,habitat,reference
Andrenidae,,Andreninini,,Andrena_vaga,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_erythrogaster,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_carlini,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_pruni,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_transnigra,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_dunningi,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_regularis,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_perplexa,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_barbara,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_cineraria,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_barbareae,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_fedtschenkoi,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_osmioides,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_albopunctata,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_macra,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
Andrenidae,,Andreninini,,Andrena_torulosa,solitary,,some communal,Michener 1969,ground,soil,Michener 1969,,,
