"family","tribe","tips","sociality_binary","sociality_three_states","nest_three_states","nest_binary"
"Andrenidae","Andreninini","Andrena_vaga","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_erythrogaster","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_carlini","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_pruni","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_transnigra","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_dunningi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_regularis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_perplexa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_barbara","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_cineraria","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_barbareae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_fedtschenkoi","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_osmioides","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_albopunctata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_macra","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_torulosa","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_bicolorata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_florentina","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nigroaenea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_elmaria","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_pyrozonata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_parathoracica","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_watasei","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_thoracica","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nitida","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_limata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_flavipes","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_notophila","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_vachali","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_gravida","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_sigiella","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_chrysopyga","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_fuscocalcarata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_morio","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_commoda","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nivalis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_vicina","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_dentata","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_sagittagalea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ziziaeformis","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_violae","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_algida","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_ruficrus","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_astragali","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_tridens","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_distans","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_geranii","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_lawrencei","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_misella","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nigrocaerulea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_caerulea","solitary","solitary","ground","ground"
"Andrenidae","Andreninini","Andrena_nigrihirta","solitary","solitary","ground","ground"
